"1 _ A","1 _ B","V4","V5","4 _ L","4 _ U","4 _ Y","4 _ Z","5 _ G","5 _ GG","6 _ AA","6 _ C","6 _ CC","6 _ D","6 _ E","6 _ FF","6 _ I","6 _ J","6 _ K","6 _ M","6 _ Q","6 _ R","6 _ W","6 _ X","7 _ BB","7 _ DD","7 _ FF","7 _ H","7 _ J","7 _ N","7 _ O","7 _ V","7 _ Z","V35","9 _ f","9 _ t","10 _ f","10 _ t","V40","12 _ f","12 _ t","13 _ g","13 _ p","13 _ s","V46","V47","V47.1"
"1","0",1.27316290110805,1.65548515604723,"0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",0.879002677441298,"0","1","0","1",1.35720365736509,"0","1","1","0","0",-1.03780818963762,-0.195271683820164,"+"
"0","1",2.03638311670176,2.76031031452826,"0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.81788232444246,"0","1","0","1",3.00229899962581,"0","1","1","0","0",-1.03780818963762,-0.195271683820164,"+"
"0","1",2.10330430470789,0.7515372991082,"0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",1.42733456887466,"0","1","0","1",0.123382150669554,"1","0","1","0","0",-1.03780818963762,-0.195271683820164,"+"
"0","1",0.881195942786434,-0.747007370395165,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0",0.829697629982712,"0","1","0","1",0.740292904017322,"0","1","1","0","0",1.83624521806661,1.72407631582532,"+"
"0","1",-0.140945535926228,2.01505552580742,"0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0.841650368760551,"0","1","0","1",0.534655986234733,"0","1","1","0","0",-0.0721262446489948,-0.195271683820164,"+"
"0","1",0.87482249630966,1.01066901809739,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",1.7142002995428,"0","1","0","1",1.1515667395825,"1","0","1","0","0",-1.03780818963762,-0.195271683820164,"+"
"0","1",1.47233310350724,0.567734568197264,"0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",1.60214337350056,"0","1","0","1",2.59102516406063,"0","1","1","0","0",-1.03780818963762,0.764402316002577,"+"
"1","0",0.456565071271353,0.0735764064039292,"0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0.829697629982712,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",-1.03780818963762,0.572467516038029,"+"
"1","0",-0.672331635927278,1.20351122757771,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",-0.540385052427084,"0","1","0","1",0.534655986234733,"0","1","1","0","0",-1.03780818963762,-0.0877881958400168,"+"
"0","1",-0.254074210888971,-0.654603811685843,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0",-0.0667577783552132,"0","1","0","1",1.76847749293027,"0","1","1","0","0",1.45687016824965,-0.188553965821405,"+"
"0","1",-0.300281697845584,-0.637529241054772,"0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",-0.116062825813799,"0","1","0","1",1.97411441071286,"0","1","1","0","0",2.31333808374551,-0.0584221714454409,"+"
"1","0",-0.638871041924213,1.40438852911972,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",-0.514985482524176,"0","1","0","1",-0.0822547671130358,"0","1","1","0","0",0.686623854984922,-0.0895156090396977,"+"
"0","1",-0.260447657365745,-0.838406542596778,"0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.58969009988567,"0","1","0","1",-0.0822547671130358,"1","0","1","0","0",0.456699582368583,-0.0993042838378897,"+"
"0","1",1.8770469547824,0.935340030019135,"0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",3.64307351981657,"0","1","0","1",1.76847749293027,"0","1","1","0","0",-0.865364985175362,-0.137691243830799,"+"
"0","1",0.251021422395385,0.886125091141344,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0.680288395259725,"0","1","0","1",1.97411441071286,"0","1","1","0","0",-1.03780818963762,-0.152854093027999,"+"
"0","1",-0.167236002642922,2.05723975913124,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",0.929801817247114,"0","1","0","1",1.76847749293027,"1","0","1","0","0",-1.03780818963762,0.2429154644989,"+"
"0","1",-0.107484941923164,-0.671678382316913,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0",-0.440280865162682,"0","1","0","1",-0.287891684895625,"1","0","1","0","0",0.341737446060414,-0.176078203823709,"+"
"0","1",0.68202574038724,1.83928788695816,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0",1.91291458172437,"0","1","0","1",0.740292904017322,"0","1","1","0","0",-0.635440712559024,-0.195271683820164,"+"
"0","1",2.02363622374821,4.66864467917732,"0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",7.85193166196313,"0","1","0","1",7.73194810862537,"1","0","1","0","0",-1.03780818963762,-0.192392661820696,"+"
"0","1",1.85712993454248,0.400002021409689,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",0.120003765048521,"0","1","0","1",1.76847749293027,"0","1","1","0","0",-1.03780818963762,-0.140762200630232,"+"
"1","0",0.795154415349983,-0.546130068853159,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0",-0.627042408566416,"0","1","0","1",4.23612050632134,"0","1","1","0","0",1.57758041137323,0.0419597289360178,"+"
"0","1",0.0717682402361107,-0.0600069991215048,"0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",1.14046883820653,"0","1","0","1",0.123382150669554,"1","0","1","0","0",0.749853029954414,-0.137691243830799,"+"
"0","1",0.834988455829821,-0.646568719624162,"0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",0.381469925813749,"1","0","1","0",-0.493528602678215,"1","0","1","0","0",0.203782882490611,-0.195271683820164,"+"
"0","1",-0.56557640744131,-0.822336358473418,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.615089669788577,"1","0","1","0",-0.493528602678215,"1","0","1","0","0",-0.46299750809677,-0.195271683820164,"+"
"1","0",-0.4197838192851,-0.855481113227849,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",-0.402928556481935,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",1.78451225672794,-0.195271683820164,"+"
"0","1",-0.39986679904518,-0.755042462456846,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",-0.141462395716707,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",0.571661718676752,-0.195271683820164,"+"
"0","1",0.509942685514337,-0.546130068853159,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0",-0.652441978469324,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",1.26143453652577,0.917950155974216,"+"
"0","1",0.310772483115143,-0.453726510143837,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0",-0.664394717247163,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",0.335989339245006,-0.156884723827254,"+"
"0","1",0.257394868872159,-0.353287859372834,"0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",1.55134423369474,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",-1.03780818963762,-0.195271683820164,"+"
"0","1",-0.61258057520752,1.37927886642697,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0",-0.414881295259774,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",-0.118111099172262,-0.137691243830799,"+"
"0","1",-0.625327468161068,-0.955919763998852,"0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.638995147344255,"0","1","1","0",-0.493528602678215,"1","0","1","0","0",-1.03780818963762,-0.195271683820164,"+"
"0","1",1.06044912494571,-0.855481113227849,"0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",0.829697629982712,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",0.801585991293091,-0.195271683820164,"+"
"0","1",0.330689503355063,-0.0519719070598245,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",1.05381148206719,"1","0","1","0",-0.493528602678215,"0","1","0","0","1",3.0490957561178,-0.195271683820164,"+"
"0","1",0.974407597509257,-0.353287859372834,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0",1.12851609942869,"0","1","0","1",1.76847749293027,"1","0","1","0","0",-0.577959644404939,-0.195271683820164,"+"
"0","1",2.0499266904649,1.50482717989072,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.290871630439694,"0","1","0","1",0.329019068452143,"0","1","1","0","0",0.111813173444076,-0.195271683820164,"+"
"0","1",0.0518512199961913,2.29126181542768,"0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0.232060691090762,"0","1","0","1",1.35720365736509,"1","0","1","0","0",0.399218514214499,-0.0551592798460436,"+"
"1","0",-0.605410447921148,-0.797226695780667,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",-0.216167013078201,"0","1","0","1",-0.0822547671130358,"0","1","1","0","0",-0.577959644404939,-0.118497763834344,"+"
"1","0",-0.844414690800181,-0.788187217211277,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",-0.190767443175293,"0","1","0","1",-0.287891684895625,"1","0","1","0","0",-1.03780818963762,-0.195271683820164,"+"
"0","1",-0.346489184802196,-0.102191232445326,"0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0.61753651667607,"0","1","0","1",-0.287891684895625,"0","1","1","0","0",-0.348035371788601,-0.195271683820164,"+"
"0","1",0.251021422395385,-0.646568719624162,"0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.204214274300362,"0","1","0","1",-0.287891684895625,"0","1","1","0","0",1.95120735437478,9.40146831440725,"+"
"1","0",0.396814010551595,-0.755042462456846,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.0667577783552132,"0","1","0","1",1.76847749293027,"1","0","1","0","0",-1.03780818963762,-0.10774941503633,"+"
"0","1",-0.439700839525019,-0.880590775920599,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.58969009988567,"0","1","0","1",0.123382150669554,"1","0","1","0","0",0.456699582368583,2.70447927404423,"+"
"0","1",-0.924082771759858,0.349782696024188,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0",-0.22811975185604,"0","1","0","1",0.945929821799912,"1","0","1","0","0",-0.577959644404939,0.371703715275112,"+"
"0","1",0.330689503355063,4.09112243724405,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",-0.178814704397454,"0","1","0","1",-0.287891684895625,"0","1","1","0","0",1.92246682029774,-0.0993042838378897,"+"
"0","1",0.104432153429578,0.550659997566194,"0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",-0.190767443175293,"0","1","1","0",-0.493528602678215,"0","1","0","0","1",1.37639667283394,-0.195271683820164,"-"
"0","1",0.303602355828772,-0.152410557830828,"0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.07083615082753,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",-1.03780818963762,-0.195271683820164,"-"
"1","0",0.602357659427563,0.0484667437111785,"0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",3.3696546202735,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",4.59533648946267,-0.195271683820164,"-"
"0","1",1.05407567846893,-0.855481113227849,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0",2.54790382929707,"0","1","1","0",-0.493528602678215,"1","0","0","0","1",1.26143453652577,-0.195271683820164,"-"
"0","1",1.10028316542555,0.450221346795191,"0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.178814704397454,"1","0","1","0",-0.493528602678215,"1","0","1","0","0",-0.118111099172262,-0.194887814220235,"-"
"0","1",-0.824497670560262,0.10672116115836,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",-0.552337791204923,"0","1","0","1",-0.287891684895625,"1","0","1","0","0",-0.118111099172262,-0.195271683820164,"-"
"0","1",0.243851295109014,0.349782696024188,"0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.627042408566416,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",1.50860312958833,-0.195271683820164,"-"
"1","0",-0.943999791999778,-0.838406542596778,"0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.489585912621268,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",-0.118111099172262,-0.195271683820164,"-"
"0","1",-0.744829589600584,-0.721897707702415,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0.0826514563677744,"0","1","0","1",-0.287891684895625,"1","0","1","0","0",-0.00314896286409331,-0.191432987820873,"-"
"0","1",-0.758373163363729,1.00263392603571,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.58969009988567,"0","1","1","0",-0.493528602678215,"1","0","1","0","0",-0.233073235480432,-0.195271683820164,"-"
"0","1",1.47870654998402,2.86074896529926,"0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",-0.664394717247163,"0","1","0","1",-0.287891684895625,"1","0","1","0","0",-0.497486148989221,-0.195271683820164,"-"
"1","0",-0.266821103842519,-0.654603811685843,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.0667577783552132,"0","1","1","0",-0.493528602678215,"1","0","0","0","1",1.0774951184327,-0.195271683820164,"-"
"0","1",0.70194276062716,-0.855481113227849,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.58969009988567,"0","1","1","0",-0.493528602678215,"1","0","0","0","1",0.61764657320002,-0.195271683820164,"-"
"1","0",-2.4712369039968,-0.252849208601831,"0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0.232060691090762,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",0.686623854984922,-0.195271683820164,"-"
"0","1",-0.300281697845584,-0.830371450535098,"0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.528432313649245,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",0.111813173444076,-0.195271683820164,"-"
"0","1",0.490025665274418,-0.152410557830828,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",0.829697629982712,"0","1","1","0",-0.493528602678215,"0","1","0","0","1",0.571661718676752,-0.195271683820164,"-"
"0","1",-2.4712369039968,-0.880590775920599,"0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.402928556481935,"0","1","1","0",-0.493528602678215,"0","1","0","0","1",4.29643493506143,-0.195271683820164,"-"
"0","1",-0.426157265761874,-0.511980927591018,"0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0.530879160536737,"0","1","1","0",-0.493528602678215,"1","0","1","0","0",0.0428358916591743,-0.195271683820164,"-"
"0","1",0.23747784863224,-0.0519719070598245,"0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.365576247801188,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",0.341737446060414,-0.195271683820164,"-"
"1","0",1.4324990630274,-0.654603811685843,"0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",-0.664394717247163,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",-0.46299750809677,-0.190089444221121,"-"
"0","1",2.50801815598305,1.60526583066173,"0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",0.829697629982712,"0","1","1","0",-0.493528602678215,"1","0","1","0","0",-0.394020226311868,-0.195271683820164,"-"
"0","1",0.0319341997562719,2.15767840990224,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.514985482524176,"0","1","1","0",-0.493528602678215,"1","0","1","0","0",-0.348035371788601,-0.195271683820164,"-"
"0","1",-2.4712369039968,0.0484667437111785,"0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",1.87556227304362,"0","1","1","0",-0.493528602678215,"1","0","1","0","0",-1.03780818963762,-0.195271683820164,"-"
"0","1",1.69779377262313,-0.679713474378593,"0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",2.16242800371176,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",0.111813173444076,-0.176078203823709,"-"
"0","1",-0.180779576406067,-0.654603811685843,"0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.216167013078201,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",-1.03780818963762,-0.15208635382814,"-"
"1","0",-0.194323150169213,-0.24481411654015,"0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",-0.514985482524176,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",-0.0548819242027694,-0.195271683820164,"-"
